price,beds,baths,living space,city,state,zip code population,median household income,property_per_100_000,violence_per_100_000,affordability
680000.0,3.0,3.0,2700.0,Staten Island,New York,43849.0,108942.0,1440.5,350.5,False
848000.0,2.0,2.0,1080.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,False
880000.0,5.0,2.0,2300.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,False
2500.0,3.0,1.0,1100.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,True
949000.0,3.0,3.0,1936.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,False
628000.0,3.0,2.0,1272.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,False
628000.0,3.0,2.0,1272.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,False
949000.0,3.0,3.0,1936.0,Staten Island,New York,44531.0,109945.0,1440.5,350.5,False
499999.0,2.0,2.0,1364.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
1150000.0,6.0,2.0,2554.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
399000.0,3.0,1.0,1280.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,True
247450.0,2.0,1.0,548.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,True
1245000.0,4.0,3.0,2388.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
765000.0,3.0,3.0,1170.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
949999.0,5.0,3.0,2184.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
599000.0,3.0,2.0,1480.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
949999.0,5.0,3.0,2184.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
765000.0,3.0,3.0,1170.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
575000.0,2.0,3.0,1500.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
798000.0,3.0,2.0,1750.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
765000.0,3.0,3.0,1040.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
599000.0,3.0,2.0,1480.0,Staten Island,New York,55805.0,118424.0,1440.5,350.5,False
939000.0,3.0,3.0,1754.0,Staten Island,New York,14828.0,145667.0,1440.5,350.5,False
939000.0,3.0,3.0,1754.0,Staten Island,New York,14828.0,145667.0,1440.5,350.5,False
989900.0,3.0,2.0,1975.0,Staten Island,New York,14828.0,145667.0,1440.5,350.5,False
1800.0,1.0,1.0,700.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,True
625000.0,3.0,2.0,1040.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
589000.0,2.0,2.0,1690.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
725000.0,4.0,2.0,2206.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
3200.0,3.0,2.0,1274.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,True
1250000.0,5.0,3.0,2674.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
888888.0,4.0,3.0,2088.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
589000.0,2.0,2.0,1690.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
625000.0,3.0,2.0,1040.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
589000.0,2.0,2.0,1690.0,Staten Island,New York,30353.0,136486.0,1440.5,350.5,False
879999.0,4.0,3.0,2630.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
739999.0,3.0,2.0,1008.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
1249999.0,4.0,4.0,3528.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
785000.0,4.0,3.0,1500.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
799000.0,3.0,2.0,1600.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
849888.0,4.0,4.0,1800.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
2200.0,2.0,1.0,1100.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,True
649998.0,3.0,3.0,1480.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
859999.0,4.0,3.0,2630.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
1050000.0,4.0,4.0,3305.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
